english,kabyle
"offensive","amderrem"
"office","anaray, asirra, iserrawen"
"office tobacco","tantaba, tintuba"
"officer","afesnaw, afesyan"
"official","amens'ab, amensab, unsib"
"oil","ahatim"
"old","acaraf, amghar, aqbur"
"old man","amgar"
"old men","imgaren"
"oleander","ilili"
"ominous","abumezleg, abumezleg dir, ibumezligen"
"omission","tatut"
"on","iggi, ufella"
"on the contrary","nemgal"
"once","ngum, zik, zikenni"
"one thousand","agim"
"one-eyed","aferdi, azaawal, n titt"
"onion","az'alim"
"opening","taneldit"
"operation","tamhelt, timehlin"
"operator","amahal, amamad"
"ophidian","azerman"
"ophthalmologist","amejjay n wallen"
"ophthalmology","tujjya n wallen"
"opinion","alghu, amnad, turda, turdiwin"
"opportunity","talemmizt, tilemmaz"
"opposition","agemmadh, amnagwa, tanmegla, tinmegliwin"
"oppression","asatagh, takrid't, takritt"
"oppressive","asdenkay"
"oppressor","asemsan"
"opprobrium","laar, tacmats"
"oppsition","tazdit, tizday"
"optician","amessi"
"optimal","akkay"
"optimistic","amesnayfu"
"option","adhaghar"
"optional","umadhghir"
"or","negh"
"oral","atlay, imawi, tatlayt"
"oral literature","tasekla tatlayt"
"oral name","tatlayt"
"oratory","tasraqqayt"
"orbit","ah'bu, ahbu, ihba"
"orbital","anehbay"
"order","amizwer, immazwer, ittmizwir, mmizwer, ur immazwer"
"order (1)","anezdhay, assusel, taladna, tasundha"
"ordering","abellez, amenzad, amenzadh, amsezwar"
"ore","azara, izaran"
"organ","agman"
"organelle","tagmant"
"organic","agemnaw"
"organism","udus"
"organization","tuddsa, tuddsiwin"
"organization chart","asdus"
"organizational","uddsan"
"orientation","taghda, taghdiwin"
"oriented","amaghus"
"origin","tadra"
"original","ameszwer"
"originality","tameszwert"
"orphan","agujil"
"orphanage","tasgujla"
"orthopedics","tujjya n yeghsan"
"orthopedist","amejjay n yeghsan"
"ostrich","anhil, asid, ibelliredj"
"ostyak","tostyakt"
"other","nnidhen, wayedh"
"otherwise","mulac, naghd, negh"
"otology","tujjya n yimezz'ughen"
"outcome","arazem, iruzam"
"out-flow","arag"
"outlet","anafar, inufar"
"output","tiririt"
"outside","berra"
"oval","aglayan, asedlan"
"ovary","agad, askiw, iskiwen"
"oven","aferr'an, afurnu, atanur, atnur"
"over","nnig, sennig, sufella"
"overcharge","tasnigt"
"overcome","afukal, ukrif"
"overtaking","azerruy"
"oviparous","anesdal"
"owing","zdat"
"owl","bedjerwad, bururu"
"own","azedgan"
"owner","amli, bab, imlan"
"oxide","tanigt"
"pace","aszarif, sszarif"
"pacific","amelwi"
"packet","akaraf, akerrud"
"packing","ajellel, ijellilen"
"packsaddle","tsberdha"
"pact","arkawel, tafghanit, tapactut"
"padlock","tifekrin, tifkert"
"page","asebter, isebtar"
"pain","aganed, aqrah, tafgurt, takma, takmiwin, tikma"
"pain (1)","rfufen"
"painter","amekla, imeklawen"
"painting","taklut, tiklutin"
"pair","abalag, tayuga"
"pajamas","aselsu n yid'es"
"palace","anegh, anghen"
"palm","tazdayt, tidikal, tidikelt"
"palm grove","tanezdayt"
"palm of the hand","tidikelt, ufus"
"pan","taccuyin, taccuyt, takint, tikinin"
"pan of toilets","tamsanut n wejmir, timsuna n wejmir"
"panel","agalis"
"panties","adgag"
"panting","buneggaf"
"paper","akirad'"
"paper handkerchief","akirad' n wensar"
"paper of glass","akirad' ahercaw"
"parabola","takenzirart"
"parachute","asegdalneghluy"
"parade","amsudegh, imsudagh"
"paradigm","tamudemt"
"paradise","amradan"
"paragliding","asgud"
"paragraph","taseddart"
"parakeet","tabiract"
"parallel","amesdagh, amsadagh, imsudagh"
"paralysis","akraf"
"paralytic","akerfan, ukrif"
"paralyze","anerzam"
"parameter","amsektay"
"parasitic","aretta"
"parchment","tidsi"
"parent","amaraw, timitt, timmarewt"
"parental","amarwan"
"parenthesis","ticcewt, ticcewt"
"parking","aseghser, iseghsiren"
"parking lot","aneghsur"
"parliament","amni, imnan"
"parliamentary","awamni, iwamnan"
"parody","amkadan"
"paroxysm","aqaful"
"paroxysmal","aqafal"
"parrot","abiran, abirani, ibiraniyen"
"parsley","imz'i"
"part","aful, amur, imuren"
"partial","abruyan"
"partially","s ubruyan"
"participant at a congress","amaswar, aneswar"
"participle","amaghun, imughan"
"particle","tazelgha, tizelghiwin"
"particular","amaz'lay, unfil"
"partisan","akabran, amughel, imughal"
"partitioning","taghrabt"
"partner","amdukel, imdukal, imessumu"
"partnership","amessumu"
"pass","isireg, isirgen, izran, izri"
"pass by all","isidef, isidfen"
"passage","azrug, izergan"
"passageway","agnir"
"passing","amsebrid"
"passion","aramsu, irumsa"
"passive","attwagh, atwegh"
"passivity","titwaght"
"past","izri"
"path","abrid, asaka, iberdan"
"patience","taszidhert"
"patient","amesszidhir"
"pawn","agunter"
"peace","asrad, talwit"
"pearl","taâeqqact"
"pectoral","ademraw"
"pedagogy","tasegmisent"
"pedestal","adasil"
"pediatrician","amejjay n yigerdan"
"pediatrics","tarbasent, tujjya n yigerdan"
"pédieux","amadar"
"peel","iclem, tagbett, taqcurt"
"pejorative","amsekkam"
"pen","imra, imru"
"pen to feather","timruct"
"pencil","aghanem, ighunam"
"pensioner","amestagh, anestagh"
"people","agdud, aghref, igherfan"
"pepper","awadag"
"percentage","afmidhi"
"perception","aramas"
"perfect","aneblal, blel"
"perfection","tablalt"
"performance","tarebbawt"
"perfume","tafenda, tifendiwin"
"period","tawala, tiwalyin"
"permanence","taghlalt, tissegli"
"permanent","ameghlal"
"permission","tesrih, turagt"
"permissive","amesfel"
"permit","arrag"
"persia","fares"
"persian","afarsi, ifarsiyen"
"persistence","agharam, tamendat, timendatin"
"persisting","ameggaluz"
"personal","anewrik, anewrik, udmawan, udmawi"
"personality","tawgitt, tugna"
"personalization","asewrik"
"personally","unewrik"
"persuasive","amalghad"
"peru","piru"
"peruvian","apirwi, ipirwiyen"
"perverse","amazuf, amfaggu"
"pessimist","amezzark"
"phalanx","taduft, tidufa"
"pharmacist","amsafar, imsufar"
"pharmacy","tansafar, tisufar"
"pharynges","anekraw"
"pharynx","tankart, tinkarin"
"phenomenon","tumant"
"philippines","filippin"
"philosopher","afelsuf"
"philosophical","afelsufi, ifelsufiyen"
"philosophy","tafelsuft"
"phoenicia","finiqya"
"phoenician","afiniqi, ifiniqiyen"
"phoneme","isil"
"phonemic","asilan"
"phonetician","anemsisli, inemsisliyen"
"phonetics","imsisli, imsisliyen, timsislit, timsisliyin"
"phonological","asnisli, isnisliyen"
"phonology","amesnisli, tasnislit"
"photo","tugna, tugniwin"
"photograph","awlaf"
"photographer","amseknaw"
"phrase logical","asnafyir"
"phraseology","tasnafyirt"
"physical","agharan, tasengama"
"physician","amejjay"
"physique","agharan, tasengama"
"pickle","taganect, tigunac"
"picture","tafelwit, tifelwa, tugna"
"pie","tasektit, tisektiyin"
"piece","tikkas, tikkest"
"piece of furniture","aruku, iruka"
"pierre","adghagh, aszru"
"pig","ahelluf, ilef"
"pigeon","itbir"
"pilipino language","tafilippinit, tat'agalugt"
"pillow","asamu, asummet, tasumta"
"pilot","akurat"
"pin","amessak, taseghnest, tiseghnas"
"pincers","ighemdan"
"pine","tayda, tazumbilt, tiydiwin"
"pipe-line","aselda"
"pit","agwdi, tamdhelt"
"pitchfork","tazzart, tazzert, tuzzar"
"pitied","acetki, tanurzit"
"pivot","amernu"
"pizza","tapizzat, tipizzatin"
"pizzeria","tapizzeriat, tipizzeriatin"
"place","amdhiq, amkan, ideggen"
"plagiarism","ahines"
"plagiarist","ahinus"
"plain","aftis, amagnu, azaghar, ibedhha, menwala"
"plan","aghawas"
"plane","asafag, isufag"
"plant","amghawi, imghan, imghi"
"plaster","aners, inersen"
"plate","tadhebsits, tafilt, tidhebsiyin"
"platoon","tamaghlayt"
"plausible","amazray"
"player","amarir"
"playful","awurar"
"pleasant","amagraz, iszil"
"pleasing","adfayan"
"pleasure","tadfi, tidefyin"
"plot","anguz, inguzen, tilemyin, tilmi"
"plotter","amengaz"
"plow","imaaun"
"plug","aghummu, asergel, isergal, tadimt"
"plugged","talqimt, yergel"
"plural","asget, asgwet, isegten"
"pluvial","anez'ran"
"pneumology","tujjya n turin"
"pocket","tamzit, timza"
"poet","amedyaz"
"poetic","amedyazi"
"poetry","tamedyazt"
"poison","akelwu, ikelwa"
"poisoned","akelway"
"polar","azeglan"
"pole","asfaylu"
"police","amsaltu, imsulta, tamsulta, timsultiwin"
"policeman","amestul, imestal"
"polite","asluf, hdeq, sluf, uhdiq"
"politeness","asenber, isenbiren, taslufi"
"politicization","asertey"
"politics","asertay, aserti, tasertit"
"politics regime","anhil"
"politique","aserti, tasertit"
"poll","asemmad"
"pollution","aseldegh"
"pomposity","tufayt, ufay"
"pond","amdun, tamda"
"pool","abrun, agulmim, tamda"
"poor","ameghbun, igellil"
"popular","agherfan, igherfanen, imezzwa, imezzwi"
"popularity","tagherfant"
"popularization","assefsus"
"pork","ahelluf, ilef"
"port","asagen, isugan"
"portugal","portugal"
"portuguese","apur'tugali, ipur'tugaliyen"
"position","tadeghra"
"positive","amdag"
"possessive","amekraz"
"possibility","iz'ubaz'"
"possible","ahat, aszubesz, izmer"
"post","abudid"
"postal","azni"
"poster","abeqqidh, anazal, anazul, inuzal, negh inuzal"
"posterity","tagri, tagwri, tigeryin"
"postponement","asmerger"
"pot of food","tad'wist"
"pot of yogurt","tafendjalt n tikkilt"
"potential","anezmar"
"potentiality","tanezmart"
"power","tanezmart"
"powerful","anezmar"
"practice","alughmu, aslughmu, ilughma, islughma"
"practicum","annan, tanning"
"praise","asulgh"
"prayer","asmiles, ismulas"
"precinct","asun"
"precise","usdid"
"precision","tisedda, tiseddi"
"precocious","amenzuy"
"precursor","asalu, inilban, inilbi"
"preface","tazwart"
"prefect","anebdad"
"prefecture","tanebdad't, tinebdadin"
"preference","azullen, tussuft"
"prefix","azwir"
"prefixed","anezwar"
"pregnancy","tadist"
"pregnant","tadist, tadist"
"prehension","tanamuzt"
"prehistoric","azarmazray"
"prehistory","azarmezruy"
"prejudged","azarafyat"
"pre-latin","azarlatini, izarlatiniyen"
"preparation","aheggi, tamatubt"
"preposition","tanzaght"
"presence","ammegnet, tihawt, tilin"
"present","amiran, aturaw"
"presentation","asenaat, askan, tanekda"
"presidency","taselwit, tiselwiyin"
"president","aselway"
"press","taghamsa, tifeffaght, tighamsiwin"
"pressure","aswar, atekki, tawaszma"
"pressure cooker","tanaslayt"
"prestige","annaz"
"pretension","anatal"
"pretty","ahusi, icbah"
"prevention","tisghilt"
"preview","ared, arrad, ittared, ur yurid, yured"
"previously","engum, zik"
"previsible","amurid"
"prevision","arid"
"price","arraz, azal, irwan"
"pricking","amaqqas"
"pride","aburez, akfur, ikfar, tazengart, temghwer"
"primary","amenzu, imenza"
"primitive","amezzawru"
"prince","ageldun"
"principle","amenzay"
"prisoner","anekruf, inekraf"
"private","uslig"
"privilege","aglam"
"privileged","aneglam"
"probability","tadwala"
"probable","amzun"
"problem","agnu, igna, ugur"
"problematic","anegnay, tamagnut, tamukrist, timugna"
"process","akala"
"procession","akala, ikalaten"
"processional caterpillar","aklawi, taz'left taklawit"
"proclamation","taseghrut, taseyrut, tiseghra"
"producer","amesfares, anfaras, imesfarsen"
"product","afaris"
"production","afares, ifuras, tafarest, tifuras"
"productive","tamesfarest, tasnafrest"
"productivity","tiffursa, tiffursiwin"
"profanity","timmezri, timmezriyin"
"profession","asadur, tanunnect"
"professional","asadar"
"professor","aselmad"
"profit","abaghur, arraz"
"profitable","araray, asaray"
"program","ahil"
"programmer","imsihel, imsuhal"
"programming","asihel, isihlen negh isuhal"
"progress","afara, ifaraten"
"progression","tafarayt"
"progressive","afaray, afarey, amesfara, tamesfara"
"project","asenfar"
"projection","asdar, tigri"
"proletarian","amghid, imghad"
"proletariat","tameghda, timeghdiwin"
"prolific","akeffad', akeffadh"
"prominent","anaffagh"
"promise","amiru, imiruten"
"promotion","asmil"
"promotional","asemlan"
"pronoun","amqim"
"pronunciation","asusru, isusra"
"proof","anza, anzaten"
"propaganda","tazniwt"
"propagandist","amaznaw, aneznaw"
"proper name","isem uslig"
"property","ayla"
"proportion","tazunt"
"proportional","azunan"
"proposition","asumer, isumar"
"prosaic","anasray, anesri"
"prose","tasrit, tiseryin"
"prosper","ankelwi"
"prosperity","tankelwit"
"prostitute","tankirt, tinkirin"
"protection","taggaszt, tamestant"
"protective","amastan"
"protectorate","tamsetna, timsetniwin"
"protocol","askari"
"proud","amzenger, imcennef"
"proverb","anzi, inzan"
"providence","agezzen, arrad, taszert, tazert, tizar"
"province","tamnadt"
"provincial","amend'an"
"provision","tamaguzt, tamattalt, timugaz"
"provocation","tasmentest, tismentas"
"proximity","amisi"
"prudence","tikzi"
"prudent","amakaz"
"psalm","ahellel, ihellilen"
"psalmist","ahellal"
"pseudonym","taselfast, tiselfasin"
"psychiatrist","amejjay n tnefsit"
"psychiatry","tujjya n tnefsit"
"psychoanalysis","tiklislett"
"psychoanalyst","amseklisedh"
"psychological","asnafsi, isnafsiyen, ulkisen"
"psychologist","amesnafsi, imesnafsiyen"
"psychology","tasnafsit, tasnafsit, tiklisent, tisnafsiyin"
"psychotherapy","tiklijjit"
"puberty","taggad't, taggatt"
"pubescent","amawad', amawadh"
"pubic","anedkay"
"public","azayez, izuyaz"
"public function","tawuri tazayezt"
"public works","imuhal izuyaz"
"publisher","amaszrag, amaz'rag"
"pull","alday, alzagh"
"pulmonary","artan"
"pump","tasuffut, tisuffa"
"punctuation","asemqedh"
"punishment","aweddeb, iweddiben, tafgert, tamarrut, tamernut, tarrut, timernutin"
"pupil","abalmud, anelmad, mummu, mummuten"
"puppet","agenter, amsillel, igentar"
"purchase","asgha, tighin, timesghiwt"
"purchaser","amsagh"
"pure","azeddag, azedgan"
"purity","tazedgi, tezdeg"
"purse","asga ufus, taggazt, taxrid't"
"pursuit","adhfer, amsed'far, astagh"
"pyramid","tazamugt, tizumag"
"pyramidal","azamag"
"qualification","asmerked"
"quality","amerkid, taghara, tighura"
"quantification","tasmakta"
"quantity","tasmekta, tismektiwin"
"quarrel","amennugh"
"quechua language","takitcwat"
"queen","tagellidt"
"quenotte","tuglac, tuglect"
"question","asteqsi"
"question text","astur"
"questioning","aseqsi, tuttra, tuttra, tuttriwin"
"questionnaire","amseqsi"
"quickly","aghiwel, rured"
"quote","assimel"
"quoted","agharam"
"quotient","anaqqas"
"race","aszgher, iri, iriten, tazla"
"rachidian","anejgay"
"racism","aszghuszer, tamsirit"
"rack","ikin"
"radiated","azenzari"
"radiator","amsammar"
"radical","afeggag, aleqfan, amaz'ar"
"radical name","talqaft"
"radicaliste","afeggaygi"
"radio","asadrer"
"radio station","amatt'af"
"radio-cassette","asanew-aseklas, isunaw-i"
"rafter","akafu, ikufa"
"rag","abehnuq"
"rage","isidh, iszged"
"rags","acelliq, acelqii, acluh"
"rain","ageffur, anz'ar"
"rainbow","taslit n waman, tislit n wenz'ar"
"raincoat","araghdaw, araman"
"raising","arebbbi, takessawt, takessi"
"ram","axarfi, ikerri"
"ramification","azruzzegh"
"rampart","agadir"
"rank","adras, asellun"
"rare","amusir"
"raspberries","tizwal"
"raspberry","tabghact, tibghacin"
"rasper","takerrad't"
"rat","agherda, taghulit"
"ration","tafult, taleqqimt, tanaqqast"
"rational","ameghszan, ameghszan, ameghz'an, tameghzant"
"rationalism","taghesznaszri, taghez'naz'ri"
"rationalistic","aghenszari"
"rationality","timmeghszent"
"rationnality","timmeghz'ent, timmeghzan"
"ravine","agadir, ikaf"
"raw","afusszagh"
"ray","adekwan, aqqar, azenszar"
"ray of a circle","aqqar"
"razor","asett'al"
"reached","tusgha"
"reaching","amadaf"
"reaction","tasedmirt"
"reactionary","asedmar, ssedmar"
"reader","ameghri, imeghra"
"reading","taghuri, tighuryin"
"ready","arettal, aserd'il, aserdhil, bges, heggi"
"real estate","azadghan"
"realism","tilaweszrit"
"reality","tilawt"
"realization","asedhru"
"rear","deffir, s-deffir"
"rearward","aberdud, iberdad"
"reason","amentil, ghszen, imentilen, taghszint, taghz'int, tamentilt, timental"
"reasoning","aszeghszen, az'eghz'en, iz'eghz'an"
"rebel","aghewwagh, amenkir"
"rebellion","aghewwegh, aghewwigh, tanekra"
"recall","asektu, asmekti"
"receipt","tarmest, tiremsin, tuttfa"
"receive","iremmes, irmes, rmes, ur irmis"
"receptionist","amermas"
"reciprocate","amyagh"
"reciprocity","asenfel, tamyaght"
"recitation","taszuggi"
"reclining","amanuz, imunaz"
"recognition","akaz"
"recommendation","asemter, isemtar"
"record-holder","aghlal"
"recording","amaklas, kles"
"recovery","hellu, tujjya"
"recreation","astaafu, tanafa"
"red","azeggagh, azeggwagh"
"redeeming","asaraf"
"reduction","afnasz, aktam, anghas, asenghes, aseqsef"
"reef","azig, izaggen"
"referee","anefray"
"reference","asadwal, tamselyut"
"reference mark","aseddag"
"referential","amselghu, amsudwal"
"reflection","akrebbet, asended, isendad, tasnezgimt, tisnezgam"
"reflection (1)","ticci"
"reflex","ammal"
"reforestation","asseklu, issekla"
"reform","takennawt, tasemmeskelt, tisemmeskal"
"refrigerator","imsismad, imsismed, imsismedh"
"refugee","azrazagh, izruzagh"
"refusal","tuggut, tugin"
"regime","agal, anhil, aziwa"
"regime of dates","aziwa, iziwan"
"regiment","aswag"
"region","aszi, tamnatt"
"register","aneklas"
"registration","akalas"
"regression","alakay"
"regret","ammugresz, ndama"
"regular","amluggen, amsegli, ilugen"
"regularity","tillugna, tillugniwin"
"regulating","asder"
"regulation","aslagan, islugan"
"rehabilitation","asegmiltu"
"reinforcement","tasilit, tasitit, tisutay"
"relation","assagh, tamaqqant"
"relational","uneqqin"
"relationship","timmarewt, timmarwin"
"relative","amassagh"
"relativity","timmaseght, timmasghin"
"relaxation","amucta"
"reliability","tanegfult"
"reliable","anegful"
"religion","ajjed, ddin"
"religious","aserd'an"
"remain","agaluz, tasagwert"
"remark","tamawin, tamawt"
"remote control","tamenzad't, tilinzedh"
"remoteness","agugu, asgugu, iguga, isguga"
"removing the make-up","askus"
"renal","agezlan"
"repetition","allus, allus"
"repetitive","amulis"
"replacing","imeddzi"
"report","aneqqis, assagh"
"reporter","aneqqas"
"representation","tagensest, tigensas"
"representative","agensas, ggenses, imgenses, imgensisen"
"representing","agensas"
"repression","asatagh, asserken"
"repressive","amastagh"
"reproach","asugnet"
"reproduction","altufras"
"republic","tagduda, tigdudyin"
"republican","agdudan, amsegdud, amsegdudan, imsegdudanen"
"republicanism","tamsegduda"
"required","tadhullit"
"research","aqelleb, asiggel, tagmi, tagmiwin"
"researcher","amnadi, amsiggel, anagmay"
"resemblance","anzi, arwis, tirwusi"
"residence","tamzught"
"residency","taghzamt"
"residual","iwerman"
"resistance","azbu, izba"
"resistant","anazbay"
"resisting","anazbay"
"resolution","taragit"
"resource","taghbalut, tighbula"
"respect","azrekki, leqdar"
"responsibility","aghalaf, tamasit, tanebdatt, timasyin"
"responsible","amasay, anabdad"
"rest","asenfu, asgunfu, astaafu, isenfa"
"restoring","asatec, isutac"
"result","agmud, agmudh, igmad"
"reticence","akukri, tarekkekt"
"retirement","tastaght"
"retort","asegdel"
"retraining","aselghaltu"
"retrograde","amahray, anaqqal"
"retrospective","amaqqal"
"return","tughalin"
"return-ticket","tawada d wughal"
"reviewed","amsudegh, tasghunt"
"revision","went"
"revolt","aghewwegh, tanekra, tinekriwin"
"revolted","amenkir"
"revolution","tagrawla, tigrawliwin"
"revolutionary","agrawal"
"reward","arraz, tarrazt"
"rheumatic","azellam"
"rheumatism","azellim"
"rhyme","tameghrut, timeghra"
"rhythm","anya, have-ten"
"rhythmic","amenyay, awlellagh"
"rich","amerkanti, anesbaghur, inesbughar"
"riddle","timseâraq, timseâreqt"
"rider","amnay"
"rifle","abeckid', abeckidh, tamegwhelt"
"right","amaghud, azref, izerfan"
"rigid","almam"
"rigidity","talmamt"
"rigor","anghud"
"ring","ardayef, talullit, tawinest, tilulliyin, tindert"
"ring (1)","taxatemt"
"riot","taghewwaght, tanekra"
"rip","acerreg"
"ritual","ajedab, asekkir, jeddeb, usekkir"
"rival","amenzagh"
"rivalries","tamenzight"
"river","asif, wasif"
"rock candy","amlugh"
"rocket","timez'dit, timezda"
"rocky","anez'ray"
"rod","afeggag"
"role","tamlilt"
"roller","amnud', amteltel"
"roller compressor","isissden, isissed"
"romance languages","tutlayin tir'umanin"
"romania","r'umanya"
"romanization","asr'ummen"
"romansh","tar'umancit"
"romantic","aneglan, ar'umanti, ir'umantiyen"
"romanticism","tar'umantit"
"rome","roma"
"roof","aslef, iselfen"
"room","tafitalt, taxxamt, tazeqqa, tizeghwin"
"root","azar, izuran"
"rope","amrar, asghun"
"rose","tighefrin, tighfert"
"rose window","tamjeddjigt"
"rotation","tamerrawt"
"royal","agellad"
"royalty","tagelda, tageldit"
"rue","abrid, aghlad"
"ruin","akreffu, axellu"
"rule","alugen, ilugan"
"rumanian","ar'umani, ir'umaniyen"
"rumanian language","tar'umanit"
"rumor","amsul"
"runner","anazzal"
"running","ad'ru, adhru, angi, tadhrut"
"running away","seg axxam, tarewla"
"running of water","angi, ingiten"
"russia","rrus, rusya"
"russian","arusi, irusiyen"
"russian language","tarusit"
"sachet","tacullid't"
"sacred","aghudid, ghuded, ughris"
"sacrifice","taghersawt, tagherwast"
"sacrificial","aghersawi"
"sad","afughal, amghilef, fughel, ghilef"
"saddle","tabarda, tarict"
"sadness","aghilif, tafughalt"
"sage","amasnag, amusnaw, laaqel"
"salad","tamafart"
"salad bowl","tamesmafart"
"salaried","ameghrad"
"salary","aghrud, ighrad, tighradh"
"saliva","isusfan, tisusaf"
"salt","amerku, amerku, irka, irka, lmelh, rku, rku, rku, tisent, tisnin"
"saltcellar","timisan, timisent"
"sample","talemt"
"sanction","tafgurt"
"sand","ijdi"
"sanitary","adawsan, amelzi"
"sanskrit language","tasanskritit"
"sarde language","tasar'dit"
"sardinia","sar'dinya"
"sardinian","asar'di, isar'diyen"
"satchel","aqrab, aqwrab, tacekkart"
"satellite","agensa, igensawen"
"satisfaction","asgiwen"
"saturation","assudhedh"
"saturday","sed, ssebt"
"sauce","tadrez't, tiderz'in"
"saucer","taghezzalt"
"saving","ademmas, asegfer, isegfar"
"savings bank","afniq usegfer"
"saw","amrez, imerzen"
"scale","sellum, tafesna, taskala, tiskaliwin"
"scaly","akebran, anekrad"
"scattering","awezzaa, awziwez"
"scheduling","asghiwes, isghiwas"
"schematic","azenzagh"
"scheme","tiddas, tiddest"
"school","agaru, agherbaz, aghurbiz, igura, timezgida"
"schoolchild","abalmud"
"schooling","asaghad, asghurbez"
"science","tamessunt, tussna, tussniwin"
"scientific","amessun, ussnan"
"scientist","amassan"
"scissors","timedyaz', timqestin"
"scorpion","tighirdemt"
"scoundrel","cmata"
"scout","amnir"
"scouting","tamennirt, taskutit"
"scream","tighri"
"screen","agdil"
"screw","tafetlit"
"screwdriver","asebren, isebran"
"sculptor","amesram, asreqqat"
"sculpture","tasramt, tasreghta, tisreghtiwin"
"sea","ilel, ilellen"
"seal","aferas, azwil, takbabt"
"seaplane","asafag n waman"
"season","tasemhuyt, tisemhay"
"seasonal worker","asemhay"
"seat","amghim, asutel"
"seat military","asutel, isutal, isutlen"
"secession","taszlit"
"secessionist","imszel"
"second","tisint, tissnat, wissin"
"secondary","ussin w issin"
"secret","ibadhna, ufur"
"secretariat","tamarit"
"secretary","amaray, amaru, imura, tamarit, timaryin"
"section","tigezmi"
"sector","agzum"
"secularism","talakt, tameddanit"
"security","taghellist"
"sediment","abaligh"
"seduction","alghad"
"seed","amud"
"segment","ighil"
"segmental","amessaghil"
"segregation","asnuhyu"
"selection","tafrant, tafrayt"
"selective","aferyan"
"self","tumast"
"self-centeredness","tumasezrit"
"self-destruction","tadelmant"
"self-destructive","adelman"
"self-determination","agucelman"
"self-educated","amnesselmad"
"selfish","anasaf, anassaf, imirixf"
"self-management","afrekman"
"seller","imzenzi"
"semantics","tamkussna"
"semester","amesdhis, amesdis"
"semi-consonant","aznaggagh"
"seminary","tamedrut"
"semiology","tasendugemt"
"semitic","asami, isamiyen"
"semitic language","tasamit"
"semitic languages","tutlayin tisamiyin"
"semi-vowel","aznaghri"
"sender","amazan"
"sensation","aferra"
"sense","anamek"
"sensitive","anferray"
"sentence","tafyirt, tawinest"
"sentimental","anafray"
"sentimentalism","tamsafrayt"
"sentry","amdhaf"
"separation","asengara, bettu"
"september","cutenbir"
"sequence","tagzumt"
"serial","amazrar"
"serious","agella, amaglay, gli hdeq, uhdiq"
"servant","amesbetti, aqeddac, asekkiw"
"service","ameszlu, ameszlu, amez'lu, imezla, tawalt"
"session","taglellit, taneqqimut"
"set","amazrar"
"setting","akatar, negh ikutar, tazelgha"
"severance","ajummey"
"sewer","amejriw, tazulixt"
"sewing","tigni, tigniwin"
"sewing machine","tamacint, tigni"
"sex","tazaka, uzuf"
"sexual","azfan, azfi"
"sexuality","tuzzuft"
"shade","tili"
"shame","ahcam, akacaf"
"shampoo","amaslaf"
"shape","talgha, talghiwin"
"shard","aceqquf"
"shareholder","anaful, inufal"
"sharp","anamsad"
"sharpener","aseslaf"
"shearer","amallas"
"shears","lemqes"
"sheep","ikerri, tixsi, ulli"
"sheet of paper","taferkit, tiferka"
"shelf","ayir, tannagt"
"shelled","iclem"
"shelter","amdari, arazugh, asqif, ifri, iruzagh, taseddarit"
"sheltered","azrazagh"
"shepherd","ameksa, anittci"
"shield","agher, ighran"
"ship","agherrabu, amajjar"
"shirt","akerbas"
"shock","anegges"
"shock absorber","akatam"
"shoe","arkas, tarkest, tisira"
"shoemaker","amserkas, axerraz"
"shop","asakwen"
"shopping bag","tasufra, tisufriwin"
"shortcoming","bellegdis"
"shorts","iggil"
"shoulder","tayets"
"shovel","taglut, tigla"
"show","afital, amz'iw, tamesrit"
"shower","tasfuyi, tisfuya"
"shrewd","amcum, hrec, uhric"
"shrimp","aqayemrun"
"shroud","lekwfen, tifit"
"shrub","taseklut, tisekla"
"shy","ameddaray, imsethi"
"shyness","lehya, tiddurit"
"sick","add'an, amud'in, amudhin"
"sick to be","adhen, erren, hlek"
"sickle","amgar, amjar, asemwad"
"side","idis, idis, iri, rrif, tama, ttarf"
"sidewalk","anergac"
"sifting","asiffi, ifif"
"sight","ast'uf"
"sign","imlan, imli, tadugamt"
"signal","tamila, tamuli, timula"
"signature","azmul, izmal, takbabt"
"significance","anamek, inumak"
"silence","tasusmi"
"silent","asusam, bbekbek, susem"
"silhouette","aszulg"
"silk","talmid't"
"silly","aaludh, abuhal, abuhali, anjuf"
"silvery","az'erfan"
"simple","afrari, ah'erfi"
"simplicity","tanefrart"
"simulation","assulu"
"sin","abekkad', leh'r'am"
"sincere","amaglay"
"sincerity","agella"
"singer","acennay"
"singular","asuf"
"sinhalese","tasengalit"
"sink","asugu, isuga"
"sinned","abekkadh"
"site","amz'ur"
"situation","addad, addud, asurs, tagnit, tignatin"
"situational","tamsagnit"
"six","sdis, sdiset, seddises"
"size","taddiwin, tagenni, taghzi, temgher, tiddi"
"skate","icicceg"
"skeleton","taghessa, tighessiwin"
"sketch","abeckil, tafghult"
"skewer","abzim, abzim, afzim, afzim, tarez'wit, tutelt, tutlin"
"skewer electric","taz'erz'it, tizerzay"
"skies","igenwan"
"skin","agwlim, ilem"
"skinny","analmaz, arqaq"
"skip","tamgagt"
"skirt","tasafa, tisufa"
"skull","aqecrur"
"skullcap","tacacit"
"sky","igenni, ijenna, ijenni"
"slant","annuz"
"slap","abeqqa, ibeqqis, isersir"
"slate","takfaft, takifaft"
"slave","akli"
"sleep","idhes, naddam"
"sleeper","amatt'as"
"sleigh","tabuskerkart"
"slice","tafrast"
"slice of bread","tacernant"
"slide","tagafayt, tahara, tiharyin"
